
> english-learning-server@1.0.0 start
> node index.js

MySQL 数据库和表结构初始化完成
✅ 服务器已启动，监听端口: 3000
📡 API地址: https://localhost:3000/api
💾 数据库: MySQL
2026-08-03T13:19:08.225Z - GET /api/adventure-course/level/scene-002-013/questions
2026-08-03T13:19:08.629Z - GET /api/achievement?userId=76
2026-08-03T13:19:08.631Z - GET /api/settings?userId=76
2026-08-03T13:19:09.066Z - GET /api/achievement/rewards?userId=76
2026-08-03T13:19:12.211Z - GET /api/speech/tts?text=research&speed=3
2026-08-03T13:19:23.073Z - GET /api/speech/tts?text=programme&speed=3
2026-08-03T13:19:36.138Z - GET /api/speech/tts?text=girl&speed=3
2026-08-03T13:19:47.597Z - POST /api/adventure-course/level/scene-002-013/submit
2026-08-03T13:19:48.390Z - GET /api/achievement?userId=76
2026-08-03T13:19:48.392Z - GET /api/settings?userId=76
2026-08-03T13:19:48.410Z - GET /api/achievement?userId=76
2026-08-03T13:19:48.413Z - GET /api/settings?userId=76
2026-08-03T13:19:50.489Z - GET /api/adventure-course/module/scene-002/levels
2026-08-03T13:20:50.733Z - GET /api/user/stats?userId=76
2026-08-03T13:20:50.734Z - GET /api/user/streak?userId=76
2026-08-03T13:20:50.757Z - GET /api/settings?userId=76
2026-08-03T13:20:50.763Z - GET /api/adventure-course/modules
2026-08-03T13:20:50.933Z - GET /api/word/status?userId=76
2026-08-03T13:20:51.363Z - GET /api/settings?userId=76
2026-08-03T13:20:54.683Z - GET /api/adventure-course/modules
2026-08-03T13:20:59.494Z - GET /api/adventure-course/module/scene-002/levels
2026-08-03T13:21:02.547Z - GET /api/adventure-course/level/scene-002-014/questions
2026-08-03T13:21:02.550Z - GET /api/settings?userId=76
2026-08-03T13:21:02.945Z - GET /api/achievement?userId=76
2026-08-03T13:21:02.947Z - GET /api/settings?userId=76
2026-08-03T13:21:03.310Z - GET /api/achievement/rewards?userId=76
2026-08-03T13:21:05.794Z - GET /api/speech/tts?text=send&speed=3
2026-08-03T13:21:15.667Z - GET /api/speech/tts?text=force&speed=3
